"","id","timestamp","box","time","t_end","other_present","eigenvector","exploration","n_days_net","log_num_trapped_per_day","any_beh_prop","age","sex","colony","prop_days_trapped","bold"
"1","BF648B1",NA,NA,46.5,46.5,0,0.0391662238427766,1,1,NA,NA,"A","F","Paradise",0,-2.14166849300908
"2","BF64922",2024-05-28 10:18:00,"Box2",8.3,46.5,0,0,0,0,NA,NA,"A","F","Paradise",0,-2.14166849300908
"3","D47CAD8",2024-06-27 11:04:28,"Box2",24.6244444444444,46.5,0,1.48075063174234e-19,1,3,NA,NA,"A","M","Paradise",0,-2.14166849300908
"4","D47CADF",2024-05-08 13:24:45,"Box1",0.4125,46.5,0,0.359605422312641,9,5,0.133531392624523,0,"A","F","Paradise",1,1.40912113907405
"5","D47CAE5",2024-05-09 11:13:50,"Box2",4.23055555555556,46.5,0,0,0,0,NA,NA,"A","F","Paradise",0,-2.14166849300908
"6","D47CB09",2024-08-01 11:43:08,"Box3",39.3855555555556,46.5,0,0.543219114670283,5,5,-1.25276296849537,0,"A","F","Paradise",0.285714285714286,0.393162414212862
"7","D47CB1A",2024-05-09 11:29:25,"Box2",4.49027777777778,46.5,0,0,0,0,NA,NA,"A","M","Paradise",0,-2.14166849300908
"8","D47CB24",2024-05-28 10:26:01,"Box1",8.43361111111111,46.5,0,0.133735826304285,2,1,0,0.142857142857143,"A","F","Paradise",0.714285714285714,1.0781409948111
"9","D47CB2C",2024-08-06 12:08:03,"Box3",44.0008333333333,46.5,0,0.40355232533618,1.5,4,-1.94591014905531,1,"A","F","Paradise",0.142857142857143,-1.74665989097837
"10","D47CB3E",2024-06-13 12:19:20,"Box1",16.1222222222222,46.5,0,1.48075063174234e-19,1,1,-1.25276296849537,1,"A","F","Paradise",0.285714285714286,-1.23868052854778
"11","D47CB4B",NA,NA,46.5,46.5,0,8.32724792883047e-18,2,1,-1.25276296849537,0.5,"A","M","Paradise",0.285714285714286,-0.422759057167458
"12","D47CB54",NA,NA,46.5,46.5,0,1.48075063174234e-19,1,1,NA,NA,"A","F","Paradise",0,-2.14166849300908
"13","D47CB5C",2024-06-26 12:27:11,"Box1",19.5030555555556,46.5,0,0,0,0,NA,NA,"A","F","Paradise",0,-2.14166849300908
"14","D47CB61",NA,NA,46.5,46.5,0,0.232058613825012,2,1,-1.94591014905531,0,"A","F","Paradise",0.142857142857143,-0.114816948217732
"15","D47CBAD",2024-06-13 11:38:16,"Box1",15.4377777777778,46.5,0,0.207825927137309,2,4,NA,NA,"A","M","Paradise",0,-2.14166849300908
"16","D47CBB0",2024-05-28 11:25:57,"Box2",9.4325,46.5,0,0.45787652317563,3.5,4,-0.847297860387204,0,"A","F","Paradise",0.285714285714286,0.690311292375001
"17","D47CBDC",NA,NA,46.5,46.5,0,0.347993804628071,1.5,2,-1.25276296849537,0,"A","M","Paradise",0.285714285714286,0.393162414212862
"18","DF62BAE",2024-07-18 13:23:00,"Box2",32.5666666666667,46.5,0,0.544262836538384,3,2,-0.336472236621213,0.6,"P","F","Paradise",0.571428571428571,0.0855688393764502
"19","DF62BB1",2024-06-26 10:09:02,"Box3",17.2005555555556,46.5,0,0.66147068056695,2,5,-0.154150679827258,0.166666666666667,"A","M","Paradise",0.571428571428571,0.926316831012155
"20","DF62BB6",NA,NA,46.5,46.5,0,0.461799509600692,3,3,-1.94591014905531,1,"A","M","Paradise",0.142857142857143,-1.74665989097837
"21","DF62BB8",2024-07-25 09:45:47,"Box2",32.5963888888889,46.5,0,0.151670980707472,2,3,-0.847297860387204,0,"P","M","Paradise",0.428571428571429,0.690311292375001
"22","DF62BBA",NA,NA,46.5,46.5,0,0.0228884880537443,1,1,-1.94591014905531,1,"P","F","Paradise",0.142857142857143,-1.74665989097837
"23","DF62BC7",NA,NA,46.5,46.5,0,1.48075063174234e-19,2,1,-0.847297860387204,0.666666666666667,"P","M","Paradise",0.428571428571429,-0.397584002798759
"24","DF62BCD",2024-06-27 10:51:15,"Box3",24.4041666666667,46.5,0,0,0,0,-1.79175946922805,0,"P","M","Crow",0.166666666666667,-0.0018461878178474
"25","DF62BCF",2024-06-27 10:49:28,"Box1",24.3744444444444,46.5,0,1.48075063174234e-19,1,1,-0.559615787935423,0.75,"P","F","Paradise",0.571428571428571,-0.322740430427024
"26","DF62BD3",2024-07-13 08:52:47,"Box1",25.2630555555556,46.5,1,1,10,5,-1.94591014905531,1,"A","M","Paradise",0.142857142857143,-1.74665989097837
"27","DF62BD5",NA,NA,46.5,46.5,0,0.238103272459539,1,1,-1.94591014905531,1,"P","F","Paradise",0.142857142857143,-1.74665989097837
"28","DF62BDE",2024-07-18 13:10:15,"Box1",31.3541666666667,46.5,0,0.626724525804108,5,4,-1.25276296849537,0.5,"A","M","Paradise",0.142857142857143,-0.422759057167458
"29","DF62BE1",2024-08-05 10:49:31,"Box3",42.0086111111111,46.5,0,0.000664769840061934,2,1,-1.94591014905531,1,"P","F","Paradise",0.142857142857143,-1.74665989097837
"30","DF62BEA",2024-07-25 11:20:38,"Box3",33.8772222222222,46.5,0,0,0,0,-2.484906649788,0,"A","F","Crow",0.0833333333333333,-0.509825550248441
"31","DF62BED",2024-06-26 09:45:48,"Box2",16.8133333333333,46.5,0,0,0,0,-0.847297860387204,0.333333333333333,"P","M","Paradise",0.428571428571429,0.146363644788121
"32","DF62BF3",NA,NA,46.5,46.5,0,0.220649505438574,2,1,-1.94591014905531,0,"P","F","Paradise",0.142857142857143,-0.114816948217732
"33","DF62BFD",2024-06-26 10:05:14,"Box2",17.1372222222222,46.5,1,0.953717898522792,8,5,-1.94591014905531,1,"A","M","Paradise",0.142857142857143,-1.74665989097837
"34","DF62C05",2024-06-26 10:57:24,"Box2",18.0066666666667,46.5,0,2.66721039429848e-17,2,3,-0.336472236621213,0,"P","F","Paradise",0.571428571428571,1.06467460503283
"35","DF62C09",NA,NA,46.5,46.5,0,1.48075063174234e-19,1,1,-1.25276296849537,1,"A","M","Paradise",0.285714285714286,-1.23868052854778
